,Station Name,Distance from Start (km),Line,Opening Date,Station Layout,Latitude,Longitude,Latitude_Longitude,New Station Name
239,Patel Nagar,24.8,Blue,2005-12-30,Elevated,28.64498,77.16929,28.64498 77.16929,Patel Nagar
240,Dilshad Garden,9.4,Red,2008-04-06,Elevated,28.67592,77.32142,28.67592 77.32142,Dilshad Garden
241,Vinod Nagar East,38.7,Pink,2018-10-31,Elevated,28.6200437,77.3054069,28.6200437 77.3054069,East Vinod Nagar - Mayur Vihar - II
242,Seelampur,14.8,Red,2002-12-25,Elevated,28.66989,77.2667,28.66989 77.2667,Seelampur
243,Ghitorni,35.9,Yellow,2010-06-21,Elevated,28.49383,77.14922,28.49383 77.14922,Acharya Shri Tulsi Marg
244,Shadipur,23.5,Blue,2005-12-30,Elevated,28.6516,77.15824,28.6516 77.15824,Shadipur
245,Paschim Vihar (East),5.7,Green,2010-02-04,Elevated,28.6773,77.11228,28.6773 77.11228,Paschim Vihar East
246,Pul Bangash,20.6,Red,2003-03-10,Elevated,28.66636,77.20727,28.66636 77.20727,Rani Jhansi Road
247,Khan Market,10.6,Voilet,2010-03-10,Underground,28.60276,77.22829,28.60276 77.22829,Humayun Road
248,Dwarka Sector 13,6.7,Blue,2006-01-04,Elevated,28.59722,77.03326,28.59722 77.03326,Sector 13
249,New Delhi-Airport Express [Conn: Yellow],0.0,Orange,2011-02-23,Underground,28.64307,77.22144,28.64307 77.22144,Platform 16
250,Udyog Nagar,8.8,Green,2010-02-04,Elevated,28.6809,77.08077,28.6809 77.08077,Nangloi
251,Noida Sector 101,3.4,Aqua,2019-01-25,Elevated,28.556402,77.384798,28.556402 77.384798,Noida
252,Durgabai Deshmukh South Campus [Conn: Orange],19.7,Pink,2018-03-14,Elevated,28.5894384,77.1690817,28.5894384 77.1690817,Durgabai Deshmukh South Campus
253,Alpha 1 Greater Noida,23.4,Aqua,2019-01-25,Elevated,28.4709,77.5127,28.4709 77.5127,JP Greens
254,East Azad Nagar,45.7,Pink,2018-10-31,Elevated,28.6646964,77.284881,28.6646964 77.284881,East Azad Nagar
255,MG Road,43.1,Yellow,2010-06-21,Elevated,28.47957,77.08006,28.47957 77.08006,Mehrauli Gurgaon Road
